"countrycode","incomegroup","povertyline","gdp"
"BDI","LIC",2.14324908694555,2.4034874
"COD","LIC",1.89885381866206,2.5391448
"CAF","LIC",2.16414052721349,2.973809
"NER","LIC",1.871222713796,3.0871382
"MOZ","LIC",1.49464787256771,3.3344901
"MWI","LIC",1.68493650820746,3.9829516
"MDG","LIC",1.64330927536443,4.2151141
"LBR","LIC",3.13471454296807,4.2880473
"SLE","LIC",3.24470451886619,4.5331502
"TCD","LIC",2.66203244821525,4.5938888
"GNB","LIC",2.27701158510075,4.786952
"ETH","LIC",2.0367815875901,4.8742032
"BFA","LIC",2.16202223116842,5.2272582
"TGO","LIC",2.16893538353518,5.26156
"RWA","LIC",1.72957805704696,5.3439074
"GIN","LIC",3.40071992950946,5.4858127
"MLI","LIC",1.95249823992755,5.5926857
"GMB","LIC",3.86893284824827,5.6401596
"UGA","LIC",1.48813534664186,5.722322
"KIR","LMC",2.72756189933617,5.7615914
"TZA","LIC",1.62313040612702,6.9331598
"SLB","LMC",1.61295314944575,6.9335866
"LSO","LMC",3.217914895933,7.3103876
"NPL","LIC",2.92635430631603,7.4066157
"SEN","LMC",2.3562305668026,7.5536423
"COM","LIC",4.1760623223713,7.6822023
"BEN","LIC",1.7746170885784,8.0711517
"HTI","LIC",3.670317588812,8.1478605
"TJK","LMC",4.00935960604683,8.1766987
"SDN","LMC",3.58033005981883,8.3956137
"VUT","LMC",2.0432254481447,8.4629555
"PNG","LMC",2.1626724049551,8.6714888
"UZB","LIC",0.905066979917409,8.8488979
"TLS","LMC",3.59414414009071,8.9499502
"TUV","LMC",4.15582002251052,8.9904165
"ZMB","LMC",1.77935196796053,9.434392
"FSM","LMC",3.65989823393703,9.5018263
"CMR","LMC",2.90936402859809,9.5090017
"ZWE","LIC",2.0142175552116,10.39902
"BGD","LMC",2.57248720245776,10.740122
"STP","LMC",4.55419913178148,10.829988
"KEN","LMC",2.41477782946084,11.165759
"MMR","LMC",3.96313610616737,11.574096
"PAK","LMC",2.98853143620148,11.721498
"AZE","LIC",4.87805345292114,11.946465
"IND","LMC",2.16780092639281,12.054488
"CIV","LMC",2.58391231452786,12.101782
"GHA","LMC",2.04246295633995,13.253529
"DJI","LMC",2.3344553370775,13.384124
"MRT","LMC",3.94863575885868,13.446871
"KGZ","LMC",4.0761234028096,13.826551
"TON","LMC",5.00832757314664,14.054496
"COG","LMC",2.45115369044345,14.075649
"NGA","LMC",2.5181381732784,14.123496
"NIC","LMC",5.27354772878307,14.912975
"HND","LMC",6.6601322448612,15.238341
"WSM","LMC",4.73283230117971,15.975605
"CPV","LMC",5.08558041259344,17.169538
"PSE","LMC",8.11220911052231,17.640913
"MAR","LMC",2.91261336987824,18.70746
"AGO","LMC",2.2256153534895,18.99589
